,Model,mAP@50,TRT_FPS,Score
0,YOLO11N,0.602868592728622,159.76288895673162,96.31602803560389
1,YOLOV10N,0.5678174105964986,167.28895495018648,94.98958122120919
2,YOLO11S,0.6319746015878593,145.89764123320614,92.20360369096389
3,YOLOV8N,0.6065071748803998,150.962153674557,91.55962933901633
4,YOLOV10S,0.6024069366515954,151.025965443173,90.97908919747155
5,YOLOV8S,0.6299384200476359,142.9353232145847,90.04045167479367
6,YOLO12N,0.6089049488493786,146.94320236620715,89.47444312055926
7,YOLOV9S,0.6392332216695961,131.92931901682746,84.33360362780253
8,YOLO12S,0.6415829784020015,125.89415360566122,80.7715460337192
9,YOLOV10M,0.6340734010355666,120.34162878673216,76.3054258509629
10,YOLO11M,0.6560403461296024,115.12393693852492,75.5259474369524
11,YOLOV9M,0.6605956127780499,99.44019174905458,65.6897544032335
12,YOLO11L,0.6651269538619218,98.13349116549584,65.27123005074206
13,YOLO12M,0.664773282211615,92.43243813187604,61.446615279749274
14,YOLO12M,0.664773282211615,92.43243813187604,61.446615279749274
15,YOLOV8L,0.6630209903368787,82.80379812517688,54.900656236609755
16,YOLOV8M,0.6562064629566909,75.3411395701248,49.43934271243798
17,YOLO11X,0.6702079406090782,72.70784226904769,48.729373233268134
18,YOLOV10X,0.6484545851090341,73.02466344938219,47.353177839795976
19,YOLO12L,0.668879422508187,68.14827800610486,45.5829808376508
20,YOLOV8X,0.669519233233681,65.66076205390848,43.96114306387199
21,YOLOV10L,0.64578988113165,61.58558918519048,39.77135031932679
