Model,Version,Size,PT_mAP50,PT_FPS,PT_ms,TRT_FPS,TRT_ms,TRT_Batch,FPS_Speedup,ms_Speedup,mAP_Diff
YOLO11N,YOLO11,N,0.602868592728622,83.87861824197793,11.92198942900015,159.76288895673162,6.259275896487004,16,1.904691473288679,1.904691473288679,
YOLO11S,YOLO11,S,0.6319746015878593,77.46194021301197,12.909565616999883,145.89764123320614,6.854120406248221,16,1.8834751728655825,1.8834751728655823,
YOLO11M,YOLO11,M,0.6560403461296024,42.47157459100352,23.545159548000928,115.12393693852493,8.686290849608369,16,2.710611463011567,2.710611463011567,
YOLO11L,YOLO11,L,0.6651269538619218,34.711440823391236,28.808945301000676,98.13349116549585,10.190201001955224,16,2.8271223791830034,2.8271223791830034,
YOLO11X,YOLO11,X,0.6702079406090782,18.693666681487205,53.49405320200367,72.70784226904769,13.753674552734019,16,3.8894371825433285,3.889437182543328,
YOLO12N,YOLO12,N,0.6089049488493786,58.74631353370901,17.022344720000067,146.94320236620717,6.805350529300647,16,2.501317844938308,2.501317844938308,
YOLO12S,YOLO12,S,0.6415829784020015,51.68232380073811,19.34897517099876,125.89415360566122,7.943180611327705,16,2.435922852289843,2.435922852289843,
YOLO12M,YOLO12,M,0.664773282211615,32.75191090415159,30.53256962399837,92.43243813187604,10.818712783203566,16,2.8221998527774272,2.822199852777427,
YOLO12L,YOLO12,L,0.668879422508187,23.583360912971006,42.40277726700071,68.14827800610486,14.673885082032712,16,2.8896762534225076,2.8896762534225076,
YOLOV10N,YOLOV10,N,0.5678174105964986,94.83684335344336,10.544425190040783,167.28895495018648,5.977680955074227,16,1.7639658705923442,1.763965870592344,
YOLOV10S,YOLOV10,S,0.6024069366515954,76.62872222237608,13.049937034027607,151.025965443173,6.62137796679918,16,1.970879339536637,1.9708793395366369,
YOLOV10M,YOLOV10,M,0.6340734010355666,42.83550430513026,23.34512027398341,120.34162878673216,8.30967646093761,16,2.8093897979933264,2.8093897979933264,
YOLOV10L,YOLOV10,L,0.64578988113165,28.042852111372834,35.65971093198641,61.58558918519048,16.237564878903044,16,2.196124307919961,2.196124307919961,
YOLOV10X,YOLOV10,X,0.6484545851090341,20.257701419667672,49.363942101996145,73.02466344938219,13.694003542969568,16,3.604785258533056,3.6047852585330564,
YOLOV8N,YOLOV8,N,0.6065071748803998,95.84699614313718,10.433295149976402,150.962153674557,6.62417682617189,16,1.5750327057627478,1.5750327057627476,
YOLOV8S,YOLOV8,S,0.6299384200476359,66.24729690262804,15.094955519012728,142.9353232145847,6.996171257812378,16,2.1576023460198637,2.1576023460198637,
YOLOV8M,YOLOV8,M,0.6562064629566909,36.07028403116608,27.723651943964796,75.3411395701248,13.272960904304298,16,2.0887315305038134,2.0887315305038134,
YOLOV8L,YOLOV8,L,0.6630209903368787,23.70626442361886,42.1829429610043,82.80379812517688,12.076740712887002,16,3.4929078932688515,3.492907893268851,
YOLOV8X,YOLOV8,X,0.669519233233681,15.858791958140843,63.05650535296081,65.66076205390848,15.229795828123116,16,4.1403381939317665,4.1403381939317665,
YOLOV9S,YOLOV9,S,0.6392332216695961,52.95952395071513,18.882344957077294,131.92931901682746,7.579816279294604,16,2.4911349116280337,2.4911349116280332,
YOLOV9M,YOLOV9,M,0.6605956127780499,33.16077221312735,30.15611318014271,99.44019174905458,10.056295974605334,16,2.9987296770395835,2.998729677039583,
