Model,mAP@50,mAP@50-95,mAP@75,Precision,Recall,FPS,Inference (ms),Total Detections,Avg Det/Image,Version,Size,Rank
yolo11x,0.6702079406090782,0.2700367707279545,0.1581210861436879,0.7837374225961254,0.5674697473768874,18.693666681487205,53.49405320200367,769661,175.64148790506619,yolo11,x,1
Yolov8x,0.669519233233681,0.27188089837893675,0.16035020988418927,0.7783980653809763,0.575565941883292,15.858791958140843,63.05650535296081,855057,195.129392971246,yolov8,x,2
yolo12l,0.668879422508187,0.26943405120540886,0.15591576776116356,0.7932036446888573,0.5601213760830622,23.583360912971006,42.40277726700071,804899,183.68302145139205,yolo12,l,3
yolov9c,0.6657753767265883,0.266545524834722,0.15404167742758276,0.7712830340578297,0.5784534762570362,29.25912911906955,34.177367204967595,963580,219.89502510269284,yolov9c,,4
yolo11l,0.6651269538619218,0.2678498219065991,0.1557750708341946,0.7834012477075264,0.5632911685223566,34.711440823391236,28.808945301000676,879938,200.8073938840712,yolo11,l,5
yolo12m,0.664773282211615,0.26855482845994005,0.157737094205398,0.7931123018171794,0.5585002592810999,32.75191090415159,30.53256962399837,836798,190.96257416704702,yolo12,m,6
yolo12m,0.664773282211615,0.26855482845994005,0.157737094205398,0.7931123018171794,0.5585002592810999,32.627934627291886,30.64858414800005,836798,190.96257416704702,yolo12,m,7
Yolov8l,0.6630209903368787,0.26677355766178645,0.15471326857670428,0.774599520755931,0.5712712624281848,23.70626442361886,42.1829429610043,898226,204.9808306709265,yolov8,l,8
yolov9m,0.6605956127780499,0.2655323786284757,0.1539925698327427,0.7709009058459884,0.5708697400650752,33.16077221312735,30.15611318014271,1030285,235.1175262437243,yolov9,m,9
Yolov8m,0.6562064629566909,0.26291550844458433,0.15101130960098957,0.7679813859789889,0.573589565527074,36.07028403116608,27.723651943964796,1068171,243.7633500684619,yolov8,m,10
yolo11m,0.6560403461296024,0.26355441796975254,0.15155482751114271,0.7802150131895711,0.556319233722078,42.47157459100352,23.545159548000928,940592,214.64901871291647,yolo11,m,11
yolov10x,0.6484545851090341,0.26258751502187283,0.15177540535682255,0.7544415692661637,0.5556581714598382,20.257701419667672,49.363942101996145,902094,205.86353263350068,yolov10,x,12
yolov10l,0.64578988113165,0.26307213181352035,0.15273495160336822,0.7612017952396659,0.550986868942608,28.042852111372834,35.65971093198641,917107,209.28959379278868,yolov10,l,13
yolo12s,0.6415829784020015,0.2570735510024475,0.14717800562472227,0.7918964497995392,0.532405341044206,51.68232380073811,19.34897517099876,991417,226.2476038338658,yolo12,s,14
yolov9s,0.6392332216695961,0.25607779158396143,0.1469888103822871,0.7549895855623829,0.5562916438848935,52.95952395071513,18.882344957077294,1167558,266.444089456869,yolov9,s,15
yolov10m,0.6340734010355666,0.2583931676097773,0.15201494741660507,0.7587846420810797,0.5352612144920118,42.83550430513026,23.34512027398341,1008680,230.18712916476494,yolov10,m,16
yolo11s,0.6319746015878593,0.2518864704530394,0.1437297910685167,0.7624559024862775,0.5477676362784513,77.46194021301197,12.909565616999883,1168177,266.5853491556367,yolo11,s,17
Yolov8s,0.6299384200476359,0.25009869815247865,0.1426564649502775,0.7457434842886113,0.5607794391840017,66.24729690262804,15.094955519012728,1202335,274.38041989958924,yolov8,s,18
yolov9t,0.6132694188937794,0.2460228145560872,0.14192515187213328,0.7438958901590448,0.5314225130698643,58.075050316340395,17.21909829699507,1266793,289.09014148790504,yolov9t,,19
yolo12n,0.6089049488493786,0.24579623979733203,0.1421050079405451,0.764184027924006,0.5138376046503126,58.74631353370901,17.022344720000067,1215582,277.4034687357371,yolo12,n,20
Yolov8n,0.6065071748803998,0.24242900093911174,0.13940926674287415,0.7387673323101696,0.5265601579351442,95.84699614313718,10.433295149976402,1282062,292.5746234596075,yolov8,n,21
yolo11n,0.602868592728622,0.24327656240055937,0.1416750504325121,0.7488965125173875,0.517201038277337,83.87861824197793,11.92198942900015,1260269,287.60132359653124,yolo11,n,22
yolov10s,0.6024069366515954,0.2463973409652759,0.142901011340723,0.7312831068696557,0.5063795561729975,76.62872222237608,13.049937034027607,1162660,265.3263350068462,yolov10,s,23
yolov10n,0.5678174105964986,0.23813527386272085,0.14699939219205427,0.7179806483501603,0.4773770793260835,94.83684335344336,10.544425190040783,1260161,287.5766773162939,yolov10,n,24
