Model,mAP@50,mAP@50-95,Precision,Recall,FPS,Inference (ms),Total Detections,Avg Det/Image
yolo11x,0.6702,0.2700,0.7837,0.5675,18.6937,53.4941,769661,175.6415
Yolov8x,0.6695,0.2719,0.7784,0.5756,15.8588,63.0565,855057,195.1294
yolo12l,0.6689,0.2694,0.7932,0.5601,23.5834,42.4028,804899,183.6830
yolov9c,0.6658,0.2665,0.7713,0.5785,29.2591,34.1774,963580,219.8950
yolo11l,0.6651,0.2678,0.7834,0.5633,34.7114,28.8089,879938,200.8074
yolo12m,0.6648,0.2686,0.7931,0.5585,32.7519,30.5326,836798,190.9626
yolo12m,0.6648,0.2686,0.7931,0.5585,32.6279,30.6486,836798,190.9626
Yolov8l,0.6630,0.2668,0.7746,0.5713,23.7063,42.1829,898226,204.9808
yolov9m,0.6606,0.2655,0.7709,0.5709,33.1608,30.1561,1030285,235.1175
Yolov8m,0.6562,0.2629,0.7680,0.5736,36.0703,27.7237,1068171,243.7634
yolo11m,0.6560,0.2636,0.7802,0.5563,42.4716,23.5452,940592,214.6490
yolov10x,0.6485,0.2626,0.7544,0.5557,20.2577,49.3639,902094,205.8635
yolov10l,0.6458,0.2631,0.7612,0.5510,28.0429,35.6597,917107,209.2896
yolo12s,0.6416,0.2571,0.7919,0.5324,51.6823,19.3490,991417,226.2476
yolov9s,0.6392,0.2561,0.7550,0.5563,52.9595,18.8823,1167558,266.4441
yolov10m,0.6341,0.2584,0.7588,0.5353,42.8355,23.3451,1008680,230.1871
yolo11s,0.6320,0.2519,0.7625,0.5478,77.4619,12.9096,1168177,266.5853
Yolov8s,0.6299,0.2501,0.7457,0.5608,66.2473,15.0950,1202335,274.3804
yolov9t,0.6133,0.2460,0.7439,0.5314,58.0751,17.2191,1266793,289.0901
yolo12n,0.6089,0.2458,0.7642,0.5138,58.7463,17.0223,1215582,277.4035
Yolov8n,0.6065,0.2424,0.7388,0.5266,95.8470,10.4333,1282062,292.5746
yolo11n,0.6029,0.2433,0.7489,0.5172,83.8786,11.9220,1260269,287.6013
yolov10s,0.6024,0.2464,0.7313,0.5064,76.6287,13.0499,1162660,265.3263
yolov10n,0.5678,0.2381,0.7180,0.4774,94.8368,10.5444,1260161,287.5767
yolo11l_tensorrt_results,N/A,N/A,N/A,N/A,98.1335,10.1902,786908,179.5774
yolo11m_tensorrt_results,N/A,N/A,N/A,N/A,115.1239,8.6863,824806,188.2259
yolo11n_tensorrt_results,N/A,N/A,N/A,N/A,159.7629,6.2593,1185136,270.4555
yolo11s_tensorrt_results,N/A,N/A,N/A,N/A,145.8976,6.8541,1089688,248.6737
yolo11x_tensorrt_results,N/A,N/A,N/A,N/A,72.7078,13.7537,682590,155.7713
yolo12l_tensorrt_results,N/A,N/A,N/A,N/A,68.1483,14.6739,697477,159.1686
yolo12m_tensorrt_results,N/A,N/A,N/A,N/A,92.4324,10.8187,721728,164.7029
yolo12n_tensorrt_results,N/A,N/A,N/A,N/A,146.9432,6.8054,1135901,259.2198
yolo12s_tensorrt_results,N/A,N/A,N/A,N/A,125.8942,7.9432,899954,205.3752
yolov10l_tensorrt_results,N/A,N/A,N/A,N/A,61.5856,16.2376,968902,221.1095
yolov10m_tensorrt_results,N/A,N/A,N/A,N/A,120.3416,8.3097,985461,224.8884
yolov10n_tensorrt_results,N/A,N/A,N/A,N/A,167.2890,5.9777,1245737,284.2850
yolov10s_tensorrt_results,N/A,N/A,N/A,N/A,151.0260,6.6214,1166395,266.1787
yolov10x_tensorrt_results,N/A,N/A,N/A,N/A,73.0247,13.6940,864813,197.3558
yolov8l_tensorrt_results,N/A,N/A,N/A,N/A,82.8038,12.0767,770606,175.8571
yolov8m_tensorrt_results,N/A,N/A,N/A,N/A,75.3411,13.2730,1072686,244.7937
yolov8n_tensorrt_results,N/A,N/A,N/A,N/A,150.9622,6.6242,1218363,278.0381
yolov8s_tensorrt_results,N/A,N/A,N/A,N/A,142.9353,6.9962,1105108,252.1926
yolov8x_tensorrt_results,N/A,N/A,N/A,N/A,65.6608,15.2298,732297,167.1148
yolov9c_tensorrt_results,N/A,N/A,N/A,N/A,94.0865,10.6285,839137,191.4963
yolov9m_tensorrt_results,N/A,N/A,N/A,N/A,99.4402,10.0563,904395,206.3886
yolov9s_tensorrt_results,N/A,N/A,N/A,N/A,131.9293,7.5798,1076797,245.7319
yolov9t_tensorrt_results,N/A,N/A,N/A,N/A,120.8271,8.2763,1270378,289.9083
