checkpoint	mAP	Rank-1	Rank-5	Rank-10	status	log
model_epoch_199_step_86706	84.7%	89.5%	93.2%	94.6%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_199_step_86706.log
model_epoch_189_step_82366	85.0%	89.3%	93.4%	94.4%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_189_step_82366.log
model_epoch_179_step_78016	85.5%	87.9%	93.3%	94.0%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_179_step_78016.log
model_epoch_169_step_73692	84.9%	88.5%	93.6%	94.6%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_169_step_73692.log
model_epoch_159_step_69359	84.0%	87.5%	92.0%	94.7%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_159_step_69359.log
model_epoch_149_step_65017	84.5%	88.3%	92.6%	94.0%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_149_step_65017.log
model_epoch_139_step_60691	85.7%	88.9%	93.4%	94.7%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_139_step_60691.log
model_epoch_129_step_56349	84.7%	89.2%	92.9%	94.6%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_129_step_56349.log
model_epoch_119_step_52003	85.2%	88.3%	93.4%	94.9%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_119_step_52003.log
model_epoch_109_step_47673	85.5%	88.0%	93.4%	94.4%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_109_step_47673.log
model_epoch_099_step_43340	86.4%	89.7%	94.4%	95.3%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_099_step_43340.log
model_epoch_089_step_38996	85.1%	88.3%	93.4%	94.7%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_089_step_38996.log
model_epoch_079_step_34658	85.6%	88.6%	94.0%	95.0%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_079_step_34658.log
model_epoch_069_step_30310	86.3%	88.7%	93.9%	95.6%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_069_step_30310.log
model_epoch_059_step_25970	85.8%	88.3%	94.2%	95.3%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_059_step_25970.log
model_epoch_049_step_21654	85.3%	87.9%	93.3%	94.7%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_049_step_21654.log
model_epoch_039_step_17318	84.0%	88.3%	92.6%	94.2%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_039_step_17318.log
model_epoch_029_step_12985	84.3%	87.0%	92.9%	94.7%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_029_step_12985.log
model_epoch_019_step_08660	83.9%	87.7%	92.5%	94.0%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_019_step_08660.log
model_epoch_009_step_04327	79.6%	83.8%	90.7%	93.2%	passed	/mnt/2tb_ssd/TwinProject/experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/logs/model_epoch_009_step_04327.log
