target,series,experiment,checkpoint,epoch,step,size_mib,evaluation_status,path
Duke,duke_swin_plain_local_partial,Duke plain Swin local partial,model_epoch_004_step_02206,4,2206,835.3,passed,experiments/reid/duke/results_plain/train/model_epoch_004_step_02206.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_009_step_05566,9,5566,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_009_step_05566.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_019_step_11134,19,11134,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_019_step_11134.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_029_step_16701,29,16701,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_029_step_16701.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_039_step_22270,39,22270,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_039_step_22270.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_049_step_27833,49,27833,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_049_step_27833.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_059_step_33396,59,33396,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_059_step_33396.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_069_step_38962,69,38962,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_069_step_38962.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_079_step_44521,79,44521,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_079_step_44521.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_089_step_50084,89,50084,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_089_step_50084.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_099_step_55641,99,55641,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_099_step_55641.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_109_step_61202,109,61202,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_109_step_61202.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_119_step_66761,119,66761,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_119_step_66761.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_129_step_72328,129,72328,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_129_step_72328.pth
Duke,duke_swin_unfiltered_synthetic,Duke + synthetic Swin,model_epoch_139_step_77890,139,77890,835.3,passed,experiments/reid/duke+syntetic/results_swin_working_lowbatch/train/model_epoch_139_step_77890.pth
