target,series,experiment,checkpoint,epoch,step,mAP,Rank-1,Rank-5,Rank-10,status,source
CCVID,ccvid_status_only,CCVID status-only history,model_epoch_029_step_50729,29,50729,20.0,,,,passed,experiments/reid/ccvid/results/evaluate/status.json
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_009_step_04327,9,4327,79.6,83.8,90.7,93.2,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_019_step_08660,19,8660,83.9,87.7,92.5,94.0,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_029_step_12985,29,12985,84.3,87.0,92.9,94.7,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_039_step_17318,39,17318,84.0,88.3,92.6,94.2,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_049_step_21654,49,21654,85.3,87.9,93.3,94.7,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_059_step_25970,59,25970,85.8,88.3,94.2,95.3,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_069_step_30310,69,30310,86.3,88.7,93.9,95.6,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_079_step_34658,79,34658,85.6,88.6,94.0,95.0,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_089_step_38996,89,38996,85.1,88.3,93.4,94.7,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_099_step_43340,99,43340,86.4,89.7,94.4,95.3,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_109_step_47673,109,47673,85.5,88.0,93.4,94.4,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_119_step_52003,119,52003,85.2,88.3,93.4,94.9,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_129_step_56349,129,56349,84.7,89.2,92.9,94.6,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
Duke,duke_filtered_synthetic_3_variants,Duke + filtered synthetic Swin,model_epoch_139_step_60691,139,60691,85.7,88.9,93.4,94.7,passed,experiments/reid/duke_syntetic_filtered_seq/evaluate/duke_filtered_syntetic/summary_reverse.tsv
